price,size,location,total_sqft,price_per_sqft,bhk
2.5 Cr,3 BHK,"Sector 6, Nerul,Navi Mumbai",1450 sq.ft,17.24 K/sq.ft,3
3.5 Cr,3 BHK,"Sector 19A, Nerul,Navi Mumbai",1750 sq.ft,20.00 K/sq.ft,3
3.5 Cr,4 BHK,"Sector 19A, Nerul,Navi Mumbai",3200 sq.ft,10.94 K/sq.ft,4
3.15 Cr,3 BHK,"Sector 27, Nerul,Navi Mumbai",1650 sq.ft,19.09 K/sq.ft,3
1.85 Cr,2 BHK,"Sector 27, Nerul,Navi Mumbai",1200 sq.ft,15.42 K/sq.ft,2
2.8 Cr,3 BHK,"Sector 6, Nerul,Navi Mumbai",1850 sq.ft,15.13 K/sq.ft,3
3.0 Cr,3 BHK,"Sector 6, Nerul,Navi Mumbai",1550 sq.ft,19.35 K/sq.ft,3
1.65 Cr,2 BHK,"Sector 6, Nerul,Navi Mumbai",1250 sq.ft,13.20 K/sq.ft,2
1.65 Cr,2 BHK,"Sector 6, Nerul,Navi Mumbai",1100 sq.ft,15.00 K/sq.ft,2
1.8 Cr,2 BHK,"Sector 6, Nerul,Navi Mumbai",1250 sq.ft,14.40 K/sq.ft,2
85.0 L,1 BHK,"Sector 20, Nerul,Navi Mumbai",650 sq.ft,13.08 K/sq.ft,1
4.05 Cr,3 BHK,"Sector 6, Nerul,Navi Mumbai",2000 sq.ft,20.25 K/sq.ft,3
1.7 Cr,2 BHK,"Sector 27, Nerul,Navi Mumbai",1150 sq.ft,14.78 K/sq.ft,2
5.0 Cr,5 BHK,"Sector 19A, Nerul,Navi Mumbai",3000 sq.ft,16.67 K/sq.ft,5
1.7 Cr,2 BHK,"Sector 28, Nerul,Navi Mumbai",1200 sq.ft,14.17 K/sq.ft,2
85.0 L,1 BHK,"Sector 19, Nerul,Navi Mumbai",675 sq.ft,12.59 K/sq.ft,1
1.98 Cr,2 BHK,"Sector 27, Nerul,Navi Mumbai",1210 sq.ft,16.36 K/sq.ft,2
2.0 Cr,2 BHK,"Sector 28, Nerul,Navi Mumbai",1300 sq.ft,15.38 K/sq.ft,2
3.11 Cr,3 BHK,"Sector 27, Nerul,Navi Mumbai",2120 sq.ft,14.67 K/sq.ft,3
1.8 Cr,2 BHK,"Sector 28, Nerul,Navi Mumbai",1250 sq.ft,14.40 K/sq.ft,2
13.0 Cr,4 BHK ,"Sector 19A, Nerul,Navi Mumbai",5000 sq.ft,26.00 K/sq.ft,4
1.55 Cr,3 BHK,"Sector 23, Nerul,Navi Mumbai",1750 sq.ft,8.86 K/sq.ft,3
5.0 Cr,3 BHK,"Sector 23, Nerul,Navi Mumbai",2320 sq.ft,21.55 K/sq.ft,3
2.15 Cr,3 BHK,"Sector 19, Nerul,Navi Mumbai",1485 sq.ft,14.48 K/sq.ft,3
2.8 Cr,3 BHK,"Sector 19, Nerul,Navi Mumbai",1885 sq.ft,14.85 K/sq.ft,3
4.2 Cr,3 BHK,"Sector 6, Nerul,Navi Mumbai",2000 sq.ft,21.00 K/sq.ft,3
4.5 Cr,3 BHK,"Sector 6, Nerul,Navi Mumbai",2000 sq.ft,22.50 K/sq.ft,3
3.21 Cr,3 BHK,"Sector 27, Nerul,Navi Mumbai",2120 sq.ft,15.14 K/sq.ft,3
1.05 Cr,2 BHK,"Sector 21, Nerul,Navi Mumbai",1200 sq.ft,8.75 K/sq.ft,2
3.0 Cr,3 BHK,"Sector 21, Nerul,Navi Mumbai",1900 sq.ft,15.79 K/sq.ft,3
7.0 Cr,4 BHK,"Sector 28, Nerul,Navi Mumbai",2705 sq.ft,25.88 K/sq.ft,4
1.85 Cr,3 BHK,"Sector 21, Nerul,Navi Mumbai",2100 sq.ft,8.81 K/sq.ft,3
2.25 Cr,4 BHK ,"Sector 17, Nerul,Navi Mumbai",2500 sq.ft,9.00 K/sq.ft,4
2.1 Cr,2 BHK,"Sector 19A, Nerul,Navi Mumbai",1200 sq.ft,17.50 K/sq.ft,2
1.8 Cr,2 BHK,"Sector 27, Nerul,Navi Mumbai",1210 sq.ft,14.88 K/sq.ft,2
5.0 Cr,5 BHK,"Sector 19A, Nerul,Navi Mumbai",2500 sq.ft,20.00 K/sq.ft,5
1.35 Cr,2 BHK,"Sector 27, Nerul,Navi Mumbai",1100 sq.ft,12.27 K/sq.ft,2
3.5 Cr,3 BHK,"Sector 14, Nerul,Navi Mumbai",2000 sq.ft,17.50 K/sq.ft,3
1.65 Cr,2 BHK,"Sector 25, Nerul,Navi Mumbai",1100 sq.ft,15.00 K/sq.ft,2
1.85 Cr,2 BHK,"Sector 27, Nerul,Navi Mumbai",1210 sq.ft,15.29 K/sq.ft,2
1.79 Cr,2 BHK,"Sector 27, Nerul,Navi Mumbai",1210 sq.ft,14.79 K/sq.ft,2
1.78 Cr,2 BHK,"Sector 27, Nerul,Navi Mumbai",1210 sq.ft,14.71 K/sq.ft,2
6.5 Cr,5 BHK,"Sector 14, Nerul,Navi Mumbai",3000 sq.ft,21.67 K/sq.ft,5
1.9 Cr,2 BHK,"Sector 19, Nerul,Navi Mumbai",1265 sq.ft,15.02 K/sq.ft,2
3.1 Cr,3 BHK ,"Sector 21, Nerul,Navi Mumbai",1750 sq.ft,17.71 K/sq.ft,3
2.25 Cr,2 BHK,"Sector 18, Nerul,Navi Mumbai",1225 sq.ft,18.37 K/sq.ft,2
1.5 Cr,2 BHK,"Sector 22, Nerul,Navi Mumbai",1272 sq.ft,11.79 K/sq.ft,2
3.0 Cr,4 BHK,"Sector 25, Nerul,Navi Mumbai",2600 sq.ft,11.54 K/sq.ft,4
1.98 Cr,2 BHK,"Sector 28, Nerul,Navi Mumbai",1350 sq.ft,14.67 K/sq.ft,2
1.4 Cr,2 BHK,"Sector 22, Nerul,Navi Mumbai",1272 sq.ft,11.01 K/sq.ft,2
6.15 Cr,4 BHK ,"Sector 28, Nerul,Navi Mumbai",3200 sq.ft,19.22 K/sq.ft,4
16.5 Cr,4 BHK ,"Sector 6, Nerul,Navi Mumbai",6000 sq.ft,27.50 K/sq.ft,4
10.0 Cr,6 BHK ,"Sector 23, Nerul,Navi Mumbai",4960 sq.ft,20.16 K/sq.ft,6
1.4 Cr,2 BHK,"Sector 21, Nerul,Navi Mumbai",1050 sq.ft,13.33 K/sq.ft,2
1.75 Cr,2 BHK,"Sector 27, Nerul,Navi Mumbai",1250 sq.ft,14.00 K/sq.ft,2
2.3 Cr,2 BHK,"Sector 28, Nerul,Navi Mumbai",1350 sq.ft,17.04 K/sq.ft,2
1.65 Cr,2 BHK,"Sector 19, Nerul,Navi Mumbai",1100 sq.ft,15.00 K/sq.ft,2
1.65 Cr,2 BHK,"Sector 19, Nerul,Navi Mumbai",1050 sq.ft,15.71 K/sq.ft,2
2.1 Cr,2 BHK,"Sector 12, Nerul,Navi Mumbai",1270 sq.ft,16.54 K/sq.ft,2
2.9 Cr,3 BHK,"Sector 12, Nerul,Navi Mumbai",1765 sq.ft,16.43 K/sq.ft,3
